0	1	2
ARID3A	A1BG	1.0
BACH1	A1BG	1.0
BARHL2	A1BG	1.0
CDC5L	A1BG	1.0
CREB3L2	A1BG	1.0
DNMT1	A1BG	1.0
E2F6	A1BG	1.0
FOXG1	A1BG	1.0
FOXJ3	A1BG	1.0
GFI1B	A1BG	1.0
HMX1	A1BG	1.0
HOXB7	A1BG	1.0
HOXB8	A1BG	1.0
HOXC6	A1BG	1.0
MAFA	A1BG	1.0
MAFB	A1BG	1.0
MAZ	A1BG	1.0
MEIS3	A1BG	1.0
MEOX2	A1BG	1.0
MLXIPL	A1BG	1.0
NR1H4	A1BG	1.0
ONECUT1	A1BG	1.0
ONECUT3	A1BG	1.0
PURA	A1BG	1.0
RREB1	A1BG	1.0
SP1	A1BG	1.0
SP3	A1BG	1.0
SPZ1	A1BG	1.0
STAT1	A1BG	1.0
WT1	A1BG	1.0
ZBTB18	A1BG	1.0
ZBTB7B	A1BG	1.0
ZFX	A1BG	1.0
ZNF589	A1BG	1.0
BPTF	A1BG-AS1	1.0
E2F7	A1BG-AS1	1.0
FOXP1	A1BG-AS1	1.0
FOXP4	A1BG-AS1	1.0
HEY2	A1BG-AS1	1.0
ID4	A1BG-AS1	1.0
IRF9	A1BG-AS1	1.0
LMO2	A1BG-AS1	1.0
MAFA	A1BG-AS1	1.0
MEF2B	A1BG-AS1	1.0
MEF2C	A1BG-AS1	1.0
MEF2D	A1BG-AS1	1.0
MEOX2	A1BG-AS1	1.0
NHLH1	A1BG-AS1	1.0
NR2E3	A1BG-AS1	1.0
NR2F6	A1BG-AS1	1.0
POU6F1	A1BG-AS1	1.0
PPARG	A1BG-AS1	1.0
PURA	A1BG-AS1	1.0
RARB	A1BG-AS1	1.0
SMAD5	A1BG-AS1	1.0
THRB	A1BG-AS1	1.0
ZBTB7B	A1BG-AS1	1.0
ZEB1	A1BG-AS1	1.0
ZFX	A1BG-AS1	1.0
ZNF148	A1BG-AS1	1.0
ZNF263	A1BG-AS1	1.0
ZNF281	A1BG-AS1	1.0
ZNF350	A1BG-AS1	1.0
ZSCAN10	A1BG-AS1	1.0
AIRE	A1CF	1.0
ARID3A	A1CF	1.0
ARID5B	A1CF	1.0
BARHL2	A1CF	1.0
BARX2	A1CF	1.0
BPTF	A1CF	1.0
CDC5L	A1CF	1.0
CDX1	A1CF	1.0
CDX2	A1CF	1.0
CPEB1	A1CF	1.0
DBX2	A1CF	1.0
DLX1	A1CF	1.0
DLX6	A1CF	1.0
DMRTC2	A1CF	1.0
EN1	A1CF	1.0
EN2	A1CF	1.0
ESX1	A1CF	1.0
ETV5	A1CF	1.0
FEZF1	A1CF	1.0
FOXA2	A1CF	1.0
FOXA3	A1CF	1.0
FOXD2	A1CF	1.0
FOXG1	A1CF	1.0
FOXH1	A1CF	1.0
FOXJ2	A1CF	1.0
FOXJ3	A1CF	1.0
FOXL1	A1CF	1.0
FOXM1	A1CF	1.0
FOXP1	A1CF	1.0
FOXP4	A1CF	1.0
FUBP1	A1CF	1.0
GATA1	A1CF	1.0
GATA2	A1CF	1.0
GATA5	A1CF	1.0
GSX1	A1CF	1.0
HHEX	A1CF	1.0
HLX	A1CF	1.0
HMG20B	A1CF	1.0
HMGA2	A1CF	1.0
HNF1A	A1CF	1.0
HNF1B	A1CF	1.0
HOXA2	A1CF	1.0
HOXB6	A1CF	1.0
HOXB7	A1CF	1.0
HOXB8	A1CF	1.0
HOXC6	A1CF	1.0
HOXD10	A1CF	1.0
IRX1	A1CF	1.0
ISX	A1CF	1.0
LBX1	A1CF	1.0
LHX2	A1CF	1.0
LHX3	A1CF	1.0
LHX6	A1CF	1.0
LMX1B	A1CF	1.0
MEF2A	A1CF	1.0
MSX1	A1CF	1.0
NFATC2	A1CF	1.0
NFATC4	A1CF	1.0
NKX3-1	A1CF	1.0
NKX6-1	A1CF	1.0
NOTO	A1CF	1.0
NR1D1	A1CF	1.0
NR2E3	A1CF	1.0
ONECUT1	A1CF	1.0
ONECUT2	A1CF	1.0
ONECUT3	A1CF	1.0
OTX1	A1CF	1.0
OTX2	A1CF	1.0
PAX4	A1CF	1.0
PDX1	A1CF	1.0
PITX1	A1CF	1.0
POU1F1	A1CF	1.0
POU3F1	A1CF	1.0
POU3F3	A1CF	1.0
POU4F1	A1CF	1.0
POU5F1	A1CF	1.0
POU6F1	A1CF	1.0
PROP1	A1CF	1.0
RAX2	A1CF	1.0
RUNX3	A1CF	1.0
SHOX	A1CF	1.0
SHOX2	A1CF	1.0
SIX5	A1CF	1.0
SOX12	A1CF	1.0
SOX17	A1CF	1.0
SOX2	A1CF	1.0
SOX6	A1CF	1.0
SPI1	A1CF	1.0
SPIB	A1CF	1.0
SPIC	A1CF	1.0
TBPL2	A1CF	1.0
TEAD1	A1CF	1.0
TEAD3	A1CF	1.0
TEAD4	A1CF	1.0
TEF	A1CF	1.0
TLX3	A1CF	1.0
VTN	A1CF	1.0
ZBTB3	A1CF	1.0
ZFHX3	A1CF	1.0
ZNF232	A1CF	1.0
ZNF333	A1CF	1.0
ZNF35	A1CF	1.0
ALX3	A2M	1.0
ARID3A	A2M	1.0
ARID5B	A2M	1.0
ARX	A2M	1.0
ASCL1	A2M	1.0
BARX1	A2M	1.0
BCL11A	A2M	1.0
BCL6B	A2M	1.0
CDC5L	A2M	1.0
CDX2	A2M	1.0
CEBPA	A2M	1.0
CIC	A2M	1.0
CPEB1	A2M	1.0
DDIT3	A2M	1.0
DLX1	A2M	1.0
DMRT2	A2M	1.0
DMRT3	A2M	1.0
DMRTC2	A2M	1.0
E2F7	A2M	1.0
E2F8	A2M	1.0
ELF2	A2M	1.0
ELF5	A2M	1.0
EMX1	A2M	1.0
EMX2	A2M	1.0
EN1	A2M	1.0
ETV7	A2M	1.0
EVX2	A2M	1.0
FOXA2	A2M	1.0
FOXA3	A2M	1.0
FOXC2	A2M	1.0
FOXD3	A2M	1.0
FOXF1	A2M	1.0
FOXG1	A2M	1.0
FOXI1	A2M	1.0
FOXJ3	A2M	1.0
FOXK1	A2M	1.0
FOXL1	A2M	1.0
FOXM1	A2M	1.0
FOXP1	A2M	1.0
FOXP3	A2M	1.0
FOXP4	A2M	1.0
FUBP1	A2M	1.0
GATA2	A2M	1.0
GATA4	A2M	1.0
GATA5	A2M	1.0
GBX1	A2M	1.0
GBX2	A2M	1.0
GFI1	A2M	1.0
HLF	A2M	1.0
HMBOX1	A2M	1.0
HMG20B	A2M	1.0
HMX1	A2M	1.0
HMX2	A2M	1.0
HNF1A	A2M	1.0
HNF1B	A2M	1.0
HOXA1	A2M	1.0
HOXA13	A2M	1.0
HOXA2	A2M	1.0
HOXA5	A2M	1.0
HOXB1	A2M	1.0
HOXB13	A2M	1.0
HOXC13	A2M	1.0
HOXC6	A2M	1.0
HOXD10	A2M	1.0
HOXD13	A2M	1.0
HOXD4	A2M	1.0
HOXD8	A2M	1.0
HOXD9	A2M	1.0
IKZF1	A2M	1.0
IRF5	A2M	1.0
IRF8	A2M	1.0
IRF9	A2M	1.0
IRX1	A2M	1.0
ISX	A2M	1.0
LHX1	A2M	1.0
LHX2	A2M	1.0
LHX3	A2M	1.0
LHX6	A2M	1.0
LHX9	A2M	1.0
LMX1A	A2M	1.0
MAFB	A2M	1.0
MAZ	A2M	1.0
MECOM	A2M	1.0
MEF2C	A2M	1.0
MEF2D	A2M	1.0
MEIS1	A2M	1.0
MEIS2	A2M	1.0
MIXL1	A2M	1.0
MSX1	A2M	1.0
MSX2	A2M	1.0
NFAT5	A2M	1.0
NFATC1	A2M	1.0
NFATC4	A2M	1.0
NFE2L1	A2M	1.0
NKX1-2	A2M	1.0
NKX3-1	A2M	1.0
NKX3-2	A2M	1.0
NKX6-1	A2M	1.0
NOTO	A2M	1.0
NR1D1	A2M	1.0
NR2E1	A2M	1.0
NR2E3	A2M	1.0
NR5A2	A2M	1.0
ONECUT2	A2M	1.0
ONECUT3	A2M	1.0
PDX1	A2M	1.0
PGR	A2M	1.0
POU1F1	A2M	1.0
POU2F2	A2M	1.0
POU3F1	A2M	1.0
POU3F2	A2M	1.0
POU3F3	A2M	1.0
POU4F1	A2M	1.0
POU5F1	A2M	1.0
POU5F1B	A2M	1.0
POU6F2	A2M	1.0
PRDM1	A2M	1.0
PROP1	A2M	1.0
PROX1	A2M	1.0
PRRX1	A2M	1.0
RARA	A2M	1.0
RORA	A2M	1.0
SIX5	A2M	1.0
SMARCC2	A2M	1.0
SOX15	A2M	1.0
SOX17	A2M	1.0
SOX21	A2M	1.0
SOX4	A2M	1.0
SOX7	A2M	1.0
SPI1	A2M	1.0
SPIB	A2M	1.0
SPIC	A2M	1.0
SRF	A2M	1.0
STAT2	A2M	1.0
STAT6	A2M	1.0
T	A2M	1.0
TBP	A2M	1.0
TBPL2	A2M	1.0
TBX21	A2M	1.0
TBX4	A2M	1.0
TBX5	A2M	1.0
TCF12	A2M	1.0
TCF7	A2M	1.0
TEAD4	A2M	1.0
THAP1	A2M	1.0
THRB	A2M	1.0
TLX1	A2M	1.0
TOPORS	A2M	1.0
VSX2	A2M	1.0
VTN	A2M	1.0
ZBTB18	A2M	1.0
ZBTB4	A2M	1.0
ZFHX2	A2M	1.0
ZFHX3	A2M	1.0
ZNF232	A2M	1.0
ZNF263	A2M	1.0
ZNF35	A2M	1.0
KLF15	A2M-AS1	1.0
KLF5	A2M-AS1	1.0
MAZ	A2M-AS1	1.0
RREB1	A2M-AS1	1.0
SMAD5	A2M-AS1	1.0
SP1	A2M-AS1	1.0
SP3	A2M-AS1	1.0
SP4	A2M-AS1	1.0
WT1	A2M-AS1	1.0
ZBTB7B	A2M-AS1	1.0
ZNF148	A2M-AS1	1.0
ZNF219	A2M-AS1	1.0
ZNF274	A2M-AS1	1.0
ZNF281	A2M-AS1	1.0
ALX3	A2ML1	1.0
ALX4	A2ML1	1.0
ARID3A	A2ML1	1.0
ARX	A2ML1	1.0
ATF5	A2ML1	1.0
BARHL2	A2ML1	1.0
BARX1	A2ML1	1.0
BCL11A	A2ML1	1.0
BCL6	A2ML1	1.0
BPTF	A2ML1	1.0
CDC5L	A2ML1	1.0
CDX2	A2ML1	1.0
CEBPA	A2ML1	1.0
CPEB1	A2ML1	1.0
DLX1	A2ML1	1.0
DLX2	A2ML1	1.0
DLX5	A2ML1	1.0
DMRT2	A2ML1	1.0
DRGX	A2ML1	1.0
DUX4	A2ML1	1.0
DUXA	A2ML1	1.0
E2F8	A2ML1	1.0
ELK3	A2ML1	1.0
EN1	A2ML1	1.0
ESRRA	A2ML1	1.0
FOXA2	A2ML1	1.0
FOXB1	A2ML1	1.0
FOXD2	A2ML1	1.0
FOXD3	A2ML1	1.0
FOXG1	A2ML1	1.0
FOXJ2	A2ML1	1.0
FOXJ3	A2ML1	1.0
FOXL1	A2ML1	1.0
FOXM1	A2ML1	1.0
FOXP1	A2ML1	1.0
FOXP3	A2ML1	1.0
FOXP4	A2ML1	1.0
FUBP1	A2ML1	1.0
GATA5	A2ML1	1.0
GBX2	A2ML1	1.0
GLI3	A2ML1	1.0
HMG20B	A2ML1	1.0
HOXA9	A2ML1	1.0
HOXC6	A2ML1	1.0
HOXD4	A2ML1	1.0
HOXD9	A2ML1	1.0
HSF4	A2ML1	1.0
IKZF1	A2ML1	1.0
IRF1	A2ML1	1.0
IRF3	A2ML1	1.0
IRF5	A2ML1	1.0
IRF9	A2ML1	1.0
LHX3	A2ML1	1.0
MAFB	A2ML1	1.0
MAZ	A2ML1	1.0
MEF2B	A2ML1	1.0
MEF2C	A2ML1	1.0
MEF2D	A2ML1	1.0
MEOX2	A2ML1	1.0
MIXL1	A2ML1	1.0
MSX1	A2ML1	1.0
MSX2	A2ML1	1.0
NFAT5	A2ML1	1.0
NFATC2	A2ML1	1.0
NFATC3	A2ML1	1.0
NKX1-2	A2ML1	1.0
NKX2-2	A2ML1	1.0
NKX3-1	A2ML1	1.0
NKX3-2	A2ML1	1.0
NKX6-1	A2ML1	1.0
NR2F2	A2ML1	1.0
NR2F6	A2ML1	1.0
NR5A2	A2ML1	1.0
NR6A1	A2ML1	1.0
ONECUT2	A2ML1	1.0
ONECUT3	A2ML1	1.0
PAX4	A2ML1	1.0
PITX2	A2ML1	1.0
POU1F1	A2ML1	1.0
POU2F1	A2ML1	1.0
POU2F2	A2ML1	1.0
POU2F3	A2ML1	1.0
POU3F1	A2ML1	1.0
POU3F3	A2ML1	1.0
POU3F4	A2ML1	1.0
POU4F1	A2ML1	1.0
POU4F2	A2ML1	1.0
POU4F3	A2ML1	1.0
POU5F1	A2ML1	1.0
POU5F1B	A2ML1	1.0
POU6F1	A2ML1	1.0
POU6F2	A2ML1	1.0
